title,artist,mood,lyrics
Meet Me in Amsterdam,RINI,in love,"I would sail across the world Row this boat from dusk till dawn To a place where we belong Girl your body is calling me   There ain’t no sunshine, no sunshine Where I was before But I found the Love the warmth in your arms  Won’t you come closer, let it take over I don’t need anything, I just want you   When I saw her in my dreams Never thought it meant a thing Till I felt and touched her skin When she smiles, my knees go weak   There ain’t no sunshine, no sunshine Where I was before But I found the Love the warmth in your arms   Won’t you come closer, let it take over I don’t need anything, I just want you   If there is a next time If there is a next time Meet me in Amsterdam Meet me in Amsterdam  Meet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam You might also likeMeet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam Meet me in AmsterdamEmbed"
Fly You to the Moon,Justin Vasquez,in love,"I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Can I take you?     I sing you this lullaby Oh close your eyes And listen to my heart beat, yeah Something about you girl, makes me wonder What you doin' tonight   I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Oh oh    Where it's peace and quiet  There's nowhere else to go  Yeah, I got your arms around me  While we're floating in the air  There's nobody else there     I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Oh ooh ooh oh, yeah    Can I take you to the moon? I'll fly you to the moon, yeah Can I take you to the moon, babe You might also like  I'll fly you to the moon  A place for me and you, yeah  Tell me what you wanna do, yeah  I wanna take you to the moon Oh oh oohEmbed"
double take,dhruv,in love,"Ooh-ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh-ooh   I could say I never dare To think about you in that way But, I would be lying And I pretend I'm happy for you When you find some dude to take home But I won't deny that  In the midst of the crowds In the shapes, in the clouds I don't see nobody but you In my rose-tinted dreams Wrinkled silk on my sheets I don't see nobody but you   Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love? Ooh-ooh-ooh-ooh   And I could say I never unzipped Those blue Levi's inside my head But that's far from the truth Don't know what's come over me It seems like yesterday when I said “We'll be friends forever”   Constellations of stars Murals on city walls I don't see nobody but you You're my vice, you're my muse You're a nineteenth floor view I don't see nobody but you You might also like Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love?   Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love?   Do you feel the love?  Do you feel the love? Do you feel the love? Do you feel the love? Feel the love Feel the love15Embed"
If I Ain't Got You,Alicia Keys,in love,"Some people live for the fortune Some people live just for the fame Some people live for the power, yeah Some people live just to play the game   Some people think that the physical things Define what's within And I've been there before but that life's a bore So full of the superficial  Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothing If I ain't got you, yeah   Some people search for a fountain That promises forever young  Some people need three dozen roses And that's the only way to prove you love them   Hand me the world on a silver platter And what good would it be? With no one to share With no one who truly cares for me   Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothin' If I ain't got you, you, you Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothin' If I ain't got you, yeah You might also like If I ain't got you with me, baby Ooh, ooh Said nothin' in this whole wide world don't mean a thing If I ain't got you with me, baby99Embed"
Get You (feat. Kali Uchis),Daniel Caesar,in love,LyricsDiana Mix: Sam Wise - 10 mins VINCH - Money Mitch Noah Carter - Call Me Over Hot -  Sam Wise - Rack Up Lancey Foux - Starstruck Bigbabygucci - Crime Kevin Taylor - Shine Wave & Boost - Froze Octavian - Party Here Yaeji - Drink I’m Sippin On Niyat Mix: Can’t wait- esta ft Xavier Omär In the morning- J. Cole ft Drake Bouff daddy - J Hus ft Popcaan Talk 2 U - Brent Faiyaz Go with it- The Internet ft Vic Mensa Ben’ ova- WSTRN Africain- Sexion D’Assaut Unfinished business- Lotto Boyzz Dedikerad Teknodub edit Same girl- Steve Lacy Every kind of way - H.E.R Heebiejeebies- Aminé ft Kehlani Get away- The Internet  Chris Mix: Get you  - Daniel Caesar Ain't nobody takin my baby - Russ Holla if ya hear me - Kweku Collins Worlds to run - busdriver Phlake - Pregnant D’Angelo - Lady Shakka feat. Wretch 32 - Heart don’t lie Jalen Santoy - Foreplay Och Nah Nah - Sir ft. Masego 2000 n Somethin - KAIIT Photosynthesis  - Saba Ghost - Kweku Collins Janet - BerhanaYou might also likeEmbed
Best Part (feat. H.E.R.),Daniel Caesar,in love,Lyricsmattdeguia - drive slow 5.0 JLZ - Ela vai subir Pete Philly - Gemini Solo Xavier Omär - Runnin' Round duncan gerow - Usher + timbaland nice n slow DKVPZ - Vibes The Detroit Experiment - Highest Samon Kawamura - You are the Only One J Dilla - Think Twice Stevie Wonder - Too High B. Bravo - Lay It on the Line  justin timberlake - señorita  Drew - Swaggin like Sango soulja boy - crank that  JLZ - Dont  Mos Def - Umi Says Sun - Time Is Passing Miraa May - Benji Sonder - Lovely  mattdeguia - drive slow 5.1 mattdeguia - drive slow 5.2 mattdeguia - drive slow 5.3 LL Cool J feat. Jadakiss - Hey Lover  Radical One - Mas Sofrito Baby - What Happened to that Boy  Smino - Sorbet Chance The Rapper - Favorite Song  Mary J. Blige - Real Love   j.robb - controlla Jeedo - Jeedo Suave Timbaland - Give It to Me  Daniel Caesar Best Part feat. H.E.R.  daniel caesar - get you   Floating Points - Love Me Like This Tom Browne - Funkin' for Jamaica j.robb - untitled 1  Bosstone - Static David Banner & Lil’ Flip - Like a Pimp None - Skepta x Bassbear!! x Swisha Sweet - take Nasty Mischief - Still Mischief Twista - Overnight Celebrity  GUNDAM - Aestas  BLVC SVND - PANDA REMIX Ticklish - Father VIP Ticklish - Oh Boy VIP Dr. Dre - Xxplosive  Sonder - Sirens foisey. - Money2Bloh. wntr - into u foisey. - FeelLikeMyselfAgain. Miraa May - Commit Jorja Smith - On My Mind  Kiefer - wdup v5 HANS - july 1 - forget it! Holygrailers - devil's pie A Tribe Called Quest: Find A Way  MXXWLL - Rooftops Musiq Soulchild - Just Friends  DKVPZ - Vibes​​1Embed
Easily,Bruno Major,in love,"Don't you tell me that it wasn't meant to be Call it quits, call it destiny Just because it won't come easily Doesn't mean we shouldn't try   We had a good thing going lately Might not have always been a fairy tale But you know and I know that they ain't real I'll take the truth over the story  You might have tried my patience lately But I'm not about to let us fail I'll be the wind picking up your sail But won't you do something for me?   Don't you tell me that it wasn't meant to be Call it quits, call it destiny Just because it won't come easily Doesn't mean we shouldn't try   Coming and going Inside out and back to front All tangled and messy That's how we've been and we'll always be And that's alright with me   Don't you tell me that it wasn't meant to be Call it quits, call it destiny Just because it won't come easily Doesn't mean we shouldn't try, try, try Just because it won't come easily Doesn't mean we shouldn't try You might also like Just because it won't come easily Doesn't mean we shouldn't try, try, try Just because it won't come easily Doesn't mean we shouldn't try24Embed"
Day 1 ◑,HONNE,in love,"Yeah, yeah   You'll always be my Day 1 Day 0 when I was no one I'm nothing by myself, you and no one else Thankful you're my Day 1 Thankful you're my   I got lucky finding you I won big the day that I came across you 'Cause when you're with me, I don't feel blue Not a day goes by that I would not redo  Everybody wants to love  It's easy when you try hard enough Yeah, that's right   You'll always be my Day 1 Day 0 when I was no one I'm nothing by myself, you and no one else Thankful you're my Day 1 I'm thankful you're my Day 1   When I first met you, it just felt right It's like I met a copy of myself that night I don't believe in fate as such But we were meant to be together, that's my hunch   Everybody wants true love It's out there if you look hard enough Enough, enough   You'll always be my Day 1 Day 0 when I was no one I'm nothing by myself, you and no one else Thankful you're my Day 1 You might also like Hour by hour, minute by minute I got mad love for you and you know it I would never leave you on your own I just want you to know   You'll always be my Day 1  Day 0 when I was no one I'm nothing by myself, you and no one else Thankful you're my Day 1  You'll always be my Day 1 Day 0 when I was no one I'm nothing by myself, you and no one else Thankful you're my Day 1    Day 1  Day 1  Thankful you're my Day 1  Thankful you're my Day 1 16Embed"
Me & You ◑,HONNE,in love,"It's one small step for man One giant leap for mankind I have a beautiful planet   You came into my life with no warning Like a flash of light And I was doing fine but as you came in I watch my future rewrite  I‘m not ready, I am not prepared I was so steady On my feet but now I’m up in the air   It’s just you and me With the world beneath our feet We can see for miles up here We can go wild up here It’s just me and you Now we’re taking in the view We can spend the rest of our days Way up here, just me and you   See, I like you a lot You make me buzz like an astronaut These feels I can't shake off I’m in your orbit and I will never drop   I'm so ready you take me as I am You’re worth every penny, yeah I'll pay all I can   It’s just you and me With the world beneath our feet We can see for miles up here We can go wild up here It’s just me and you Now we’re taking in the view We can spend the rest of our days Way up here just me and you You might also like I'm not ready, I am not prepared I was so steady On my feet but now I’m up in the air   It's just you and me With the world beneath our feet We can see for miles up here We can go wild up here It's just me and you Now we're taking in the view We can spend the rest of our days Way up here just me and you7Embed"
I Like Me Better,Lauv,in love,"To be young and in love in New York City To not know who I am but still know that I'm good long as you're here with me To be drunk and in love in New York City Midnight into morning coffee, burnin' through the hours talking Damn   I like me better when I'm with you I like me better when I'm with you I knew from the first time, I'd stay for a long time, 'cause I like me better when, I like me better when I'm with you  I don't know what it is but I got that feelin' Wakin' up in this bed next to you swear the room, yeah, it got no ceiling If we lay, let the day just pass us by I might get to too much talking, I might have to tell you somethin' Damn   I like me better when I'm with you I like me better when I'm with you I knew from the first time, I'd stay for a long time, 'cause I like me better when, I like me better when I'm with you   Stay awhile, stay awhile Stay here with me Stay awhile, stay awhile, oh Stay awhile, stay awhile Stay here with me Lay here with me, ooh   I like me better when I'm with you  I like me better when I'm with you  I knew from the first time, I'd stay for a long time, 'cause I like me better when, I like me better when I'm with you You might also like   Better when I like me better when I'm with you97Embed"
