title,artist,mood,lyrics
Meet Me in Amsterdam,RINI,in love,"I would sail across the world Row this boat from dusk till dawn To a place where we belong Girl your body is calling me   There ain’t no sunshine, no sunshine Where I was before But I found the Love the warmth in your arms  Won’t you come closer, let it take over I don’t need anything, I just want you   When I saw her in my dreams Never thought it meant a thing Till I felt and touched her skin When she smiles, my knees go weak   There ain’t no sunshine, no sunshine Where I was before But I found the Love the warmth in your arms   Won’t you come closer, let it take over I don’t need anything, I just want you   If there is a next time If there is a next time Meet me in Amsterdam Meet me in Amsterdam  Meet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam You might also likeMeet me in Amsterdam Meet me in Amsterdam Meet me in Amsterdam Meet me in AmsterdamEmbed"
Fly You to the Moon,Justin Vasquez,in love,"I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Can I take you?     I sing you this lullaby Oh close your eyes And listen to my heart beat, yeah Something about you girl, makes me wonder What you doin' tonight   I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Oh oh    Where it's peace and quiet  There's nowhere else to go  Yeah, I got your arms around me  While we're floating in the air  There's nobody else there     I'll fly you to the moon A place for me and you Tell me what you wanna do I wanna take you to the moon Oh ooh ooh oh, yeah    Can I take you to the moon? I'll fly you to the moon, yeah Can I take you to the moon, babe You might also like  I'll fly you to the moon  A place for me and you, yeah  Tell me what you wanna do, yeah  I wanna take you to the moon Oh oh oohEmbed"
double take,dhruv,in love,"Ooh-ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh-ooh   I could say I never dare To think about you in that way But, I would be lying And I pretend I'm happy for you When you find some dude to take home But I won't deny that  In the midst of the crowds In the shapes, in the clouds I don't see nobody but you In my rose-tinted dreams Wrinkled silk on my sheets I don't see nobody but you   Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love? Ooh-ooh-ooh-ooh   And I could say I never unzipped Those blue Levi's inside my head But that's far from the truth Don't know what's come over me It seems like yesterday when I said “We'll be friends forever”   Constellations of stars Murals on city walls I don't see nobody but you You're my vice, you're my muse You're a nineteenth floor view I don't see nobody but you You might also like Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love?   Boy, you got me hooked onto something Who could say that they saw us coming? Tell me, do you feel the love? Spend a summer or a lifetime with me Let me take you to the place of your dreams Tell me, do you feel the love?   Do you feel the love?  Do you feel the love? Do you feel the love? Do you feel the love? Feel the love Feel the love15Embed"
If I Ain't Got You,Alicia Keys,in love,"Some people live for the fortune Some people live just for the fame Some people live for the power, yeah Some people live just to play the game   Some people think that the physical things Define what's within And I've been there before but that life's a bore So full of the superficial  Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothing If I ain't got you, yeah   Some people search for a fountain That promises forever young  Some people need three dozen roses And that's the only way to prove you love them   Hand me the world on a silver platter And what good would it be? With no one to share With no one who truly cares for me   Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothin' If I ain't got you, you, you Some people want it all But I don't want nothin' at all If it ain't you, baby If I ain't got you, baby Some people want diamond rings Some just want everything But everything means nothin' If I ain't got you, yeah You might also like If I ain't got you with me, baby Ooh, ooh Said nothin' in this whole wide world don't mean a thing If I ain't got you with me, baby99Embed"
Get You (feat. Kali Uchis),Daniel Caesar,in love,LyricsDiana Mix: Sam Wise - 10 mins VINCH - Money Mitch Noah Carter - Call Me Over Hot -  Sam Wise - Rack Up Lancey Foux - Starstruck Bigbabygucci - Crime Kevin Taylor - Shine Wave & Boost - Froze Octavian - Party Here Yaeji - Drink I’m Sippin On Niyat Mix: Can’t wait- esta ft Xavier Omär In the morning- J. Cole ft Drake Bouff daddy - J Hus ft Popcaan Talk 2 U - Brent Faiyaz Go with it- The Internet ft Vic Mensa Ben’ ova- WSTRN Africain- Sexion D’Assaut Unfinished business- Lotto Boyzz Dedikerad Teknodub edit Same girl- Steve Lacy Every kind of way - H.E.R Heebiejeebies- Aminé ft Kehlani Get away- The Internet  Chris Mix: Get you  - Daniel Caesar Ain't nobody takin my baby - Russ Holla if ya hear me - Kweku Collins Worlds to run - busdriver Phlake - Pregnant D’Angelo - Lady Shakka feat. Wretch 32 - Heart don’t lie Jalen Santoy - Foreplay Och Nah Nah - Sir ft. Masego 2000 n Somethin - KAIIT Photosynthesis  - Saba Ghost - Kweku Collins Janet - BerhanaYou might also likeEmbed
Best Part (feat. H.E.R.),Daniel Caesar,in love,None
Easily,Bruno Major,in love,None
Day 1 ◑,HONNE,in love,None
Me & You ◑,HONNE,in love,None
I Like Me Better,Lauv,in love,None
