title,artist,mood,lyrics
Left Hand Free (Extended Version),alt-J,non-romance,none
Mr. Blue Sky,Electric Light Orchestra,non-romance,"    The sun is shining in the sky There ain't a cloud in sight It's stopped raining, everybody's in the play And don't you know it's a beautiful new day? Hey   Running down the avenue See how the sun shines brightly In the city, on the streets where once was pity Mr. Blue Sky is living here today, hey  Mr. Blue Sky, please tell us why You had to hide away for so long  Where did we go wrong? Mr. Blue Sky, please tell us why You had to hide away for so long  Where did we go wrong?     Hey you with the pretty face Welcome to the human race A celebration, Mr. Blue Sky's up there waiting And today is the day we've waited for, oh   Oh, Mr. Blue Sky, please tell us why You had to hide away for so long  Where did we go wrong?   Hey there, Mr. Blue We're so pleased to be with you Look around, see what you do Everybody smiles at you Hey there, Mr. Blue We're so pleased to be with you Look around, see what you do Everybody smiles at you You might also like      Mr. Blue, you did it right But soon comes Mr. Night Creeping over, now his hand is on your shoulder Never mind, I'll remember you this I'll remember you this way   Mr. Blue Sky, please tell us why You had to hide away for so long  Where did we go wrong?   Hey there, Mr. Blue  We're so pleased to be with you  Look around, see what you do  Everybody smiles at you   54Embed"
Radioactive,Imagine Dragons,non-romance,"Whoa, oh-oh Whoa, oh-oh Whoa, oh-oh Whoa   I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals  I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Whoa   I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Whoa-oh, whoa I'm radioactive, radioactive Whoa-oh, whoa I'm radioactive, radioactive   I raise my flags, dye my clothes It's a revolution, I suppose We're painted red to fit right in Whoa   I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Whoa You might also like I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Whoa-oh, whoa I'm radioactive, radioactive Whoa-oh, whoa I'm radioactive, radioactive   All systems go, the sun hasn't died Deep in my bones, straight from inside   I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Whoa-oh, whoa I'm radioactive, radioactive Whoa-oh, whoa I'm radioactive, radioactive323Embed"
Act My Age,Hoodie Allen,non-romance,"They say the way I act is immature Well don't be mad at me because you're feeling insecure The only golf I ever tried to play was miniature And when you ask me sign your boobs I smiley face my signature But my parents raised me right, they were sticklers And we don't even fight, we're like oil and some vinegar Getting a job is like a pregnant woman giving birth You're trying to push me in the wrong direction and it fucking hurts So most our friends already moved out of they mama's cribs I'm still throwing parties at my house, like Stifler So if you go around and try to tell me how to live I'mma take your girl and Mortal Kombat finish her  But when it's done and the party shuts down And the cops try to lay my ass on the ground One day we might tell our kids, but until that day let's live like this   My friends grew up, they never get drunk They never wanna hang out late They're gonna get jobs, they're gonna pay bills They're gonna get old and gray I'll never do that, I wanna stay young Don't wanna fit in, I wanna have fun So if that's okay, I don't think I'm ever gonna act my age   And when it comes to getting older No matter what I do, I'm never feeling like a grown up People trying to make me change, you'd think there was a quota Like there ain't enough unemployed motherfuckers with diplomas Everybody waiting 'round hoping that they blow up But I'mma make it sooner, Oklahoma I learned to be a player, make money like I'm an owner These other rappers are so over the hill, word to Jonah So if you see me in a restaurant, say hi to me And if I ask you if you like my new shit, lie to me Word to Tim Roth And I don't know if I fit in with your society So chill, take a pill for anxiety and doze off You might also like But when it's late and you're all alone And you're too damn drunk to be walking home Then maybe you should call it quits But until that day let's live like this   My friends grew up, they never get drunk They never wanna hang out late They're gonna get jobs, they're gonna pay bills They're gonna get old and gray I'll never do that, I wanna stay young Don't wanna fit in, I wanna have fun So if that's okay, I don't think I'm ever gonna act my age   Oh, it's all good, it's alright, it's okay We can live however we want And there ain't nobody that can get in our way Oh, it's all good, it's alright, it's okay We gon' do whatever we want Never gonna listen to a word you say   My friends grew up, they never get drunk They never wanna hang out late They're gonna get jobs, they're gonna pay bills They're gonna get old and gray I'll never do that, I wanna stay young Don't wanna fit in, I wanna have fun So if that's okay, I don't think I'm ever gonna act my age Act my age Ever gonna act my, act my age28Embed"
Believer,Imagine Dragons,non-romance,"First things first I'ma say all the words inside my head I'm fired up and tired of The way that things have been, oh-ooh The way that things have been, oh-ooh   Second things second Don't you tell me what you think that I could be I'm the one at the sail I'm the master of my sea, oh-ooh The master of my sea, oh-ooh  I was broken from a young age Taking my sulkin' to the masses Writing my poems for the few That look at me, took to me, shook at me, feelin' me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the...   Pain! You made me a, you made me a Believer, believer Pain! You break me down, you build me up Believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from… Pain! You made me a, you made me a Believer, believer   Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove, oh-ooh Your spirit up above, oh-ooh You might also like I was chokin' in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbin' and flowin' Inhibited, limited 'til it broke open and rained down It rained down, like…   Pain! You made me a, you made me a Believer, believer Pain! You break me down, you build me up Believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from… Pain! You made me a, you made me a Believer, believer   Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins, oh-ooh The blood in my veins, oh-ooh  But they never did, ever lived, ebbin' and flowin' Inhibited, limited 'til it broke open and rained down It rained down, like…   Pain! You made me a, you made me a Believer, believer Pain! You break me down, you build me up Believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from… Pain! You made me a, you made me a Believer, believer426Embed"
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,non-romance,none
Electricity,Elton John,non-romance,"I can't really explain it I haven't got the words It's a feeling that you can't control I suppose it's like forgetting Losing who you are And at the same time, something makes you whole   It's like that there's a music Playing in your ear And I'm listening, and I'm listening And then I disappear  And then I feel a change Like a fire deep inside Something bursting me wide open Impossible to hide And suddenly I'm flying Flying like a bird Like electricity Electricity Sparks inside of me And I'm free, I'm free   It's a bit like being angry It's a bit like being scared Confused and all mixed up and mad as hell It's like when you've been crying And you're empty and you're full I don't know what it is, it's hard to tell   It's like that there's some music Playing in your ear But the music is impossible Impossible to hear You might also like But then I feel it move me Like a burning deep inside Something bursting me wide open Impossible to hide And suddenly I'm flying Flying like a bird Like electricity Electricity Sparks inside of me And I'm free, I'm free   Electricity Sparks inside of me And I'm free, I'm free Oh, I'm freeEmbed"
Roaring 20s,Panic! At The Disco,non-romance,"Broadway is black like a sinkhole Everyone raced to the suburbs And I'm on the rooftop with curious strangers This is the oddest of summers Maybe I'll medicate, maybe inebriate Strange situations, I get anxious Maybe I'll smile a bit, maybe the opposite But pray that they don't call me thankless   My Tell-Tale Heart's a hammer in my chest Cut me a silk tie tourniquet  This is my roaring, roaring 20s I don't even know me Roll me like a blunt 'cause I wanna go home Roll me like a blunt 'cause I wanna go home My roaring, roaring 20s I don't even know me Roll me like a blunt 'cause I wanna go home Roll me like a blunt 'cause I want, I wanna go home   Oscars and Emmys and Grammys Everyone here is a trophy And I'm sipping bourbon The future's uncertain The past on the pavement below me Maybe I'll elevate, maybe I'm second rate So unaware of my status Maybe I'm overjoyed, maybe I'm paranoid Designer me up in straight jackets   My Tell-Tale Heart's a hammer in my chest Cut me a silk tie tourniquet   This is my roaring, roaring 20s I don't even know me Roll me like a blunt 'cause I wanna go home Roll me like a blunt 'cause I wanna go home My roaring, roaring 20s I don't even know me Roll me like a blunt 'cause I wanna go home Roll me like a blunt 'cause I want, I wanna go home You might also like Hallucinations only mean that your brain is on fire If it's Lord of the Flies in my mind tonight I don't know if I will survive Lighters up if you're feeling me Fade to black if you're not mine 'Cause I just need a sign or a signal inside   This is my roaring, roaring 20s I don't even know me Roll me a blunt 'cause I wanna go home Roll me a, roll me a blunt This is my roaring, roaring 20s I don't even know me Roll me like a blunt 'cause I wanna go home Roll me like a blunt 'cause I want, I wanna go home   Oh-woah Oh-woah I wanna go home46Embed"
Most Girls,Hailee Steinfeld,non-romance,"    Some girls feel best in their tiny dresses Some girls, nothing but sweatpants, looking like a princess Some girls kiss new lips every single night They're stayin' out late 'cause they just celebrating life   You know some days you feel so good in your own skin But it's okay if you wanna change the body that you came in 'Cause you look greatest when you feel like a damn queen We're all just playing a game in a way, trying to win at life  Most girls are smart and strong and beautiful Most girls work hard, go far, we are unstoppable ""Most girls"": Our fight to make every day, no two are the same I wanna be like, I wanna be like most girls I wanna be like, I wanna be like most girls I wanna be like, I wanna be like   They're staying out late 'cause they just celebrating I wanna be like, I wanna be like They're staying out late cause they just celebrating I wanna be like, I wanna be like   Some girls like to keep their physique real private Some girls wear jeans so tight 'cause it feels so right, yeah Some girls, every day searching, keep the page turning Sleeping in late 'cause they just celebrating life    You know some days you feel so good in your own skin But it's okay if you wanna change the body that you came in  'Cause you look greatest when you feel like a damn queen We're all just playing a game in a way, trying to win at life You might also like Most girls are smart and strong and beautiful Most girls work hard, go far, we are unstoppable  ""Most girls"": Our fight to make every day, no two are the same I wanna be like, I wanna be like most girls I wanna be like, I wanna be like most girls I wanna be like, I wanna be like    I wanna be like, I wanna be like  I wanna be like, I wanna be like   Most girls  Most girls  Most girls, are fighting back every day, no two are the same I wanna be like   Most girls I wanna be like, I wanna be like most girls I wanna be like, I wanna be like  I wanna be like, I wanna be like  I wanna be like 47Embed"
Pompeii,Bastille,non-romance,none
